# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
2000 0.00792863
4000 0.0131723
6000 0.014678
8000 0.0169887
10000 0.0174369
12000 0.0233899
14000 0.0245997
16000 0.0218799
18000 0.020074
20000 0.0171149
22000 0.0181114
24000 0.0190862
26000 0.0228024
28000 0.0232942
30000 0.0207093
32000 0.0208138
34000 0.0217885
36000 0.0207311
38000 0.0259356
40000 0.0271192
42000 0.0261967
44000 0.0268799
46000 0.0292385
48000 0.0256136
50000 0.0278764
52000 0.0276197
54000 0.0303829
56000 0.0332811
58000 0.0307833
60000 0.0307311
62000 0.032067
64000 0.0331027
66000 0.0289513
68000 0.0300696
70000 0.0333681
72000 0.0352611
74000 0.0307876
76000 0.0302567
78000 0.0323977
80000 0.0352176
82000 0.0300435
84000 0.0320496
86000 0.0332811
88000 0.0347607
90000 0.0323455
92000 0.0321018
94000 0.0321453
96000 0.0323194
98000 0.0341384
100000 0.0338207
102000 0.0352785
104000 0.0312185
106000 0.0348912
108000 0.0322672
110000 0.0345822
112000 0.034369
114000 0.0357311
116000 0.0337946
118000 0.034765
120000 0.0346127
122000 0.0302654
124000 0.0353046
126000 0.0340426
128000 0.033416
130000 0.0351523
132000 0.035718
134000 0.035309
136000 0.0338816
138000 0.0354613
140000 0.0312794
142000 0.0387815
144000 0.033812
146000 0.0389077
148000 0.0384508
150000 0.0359835
152000 0.0343603
154000 0.0384639
156000 0.0403612
158000 0.037228
160000 0.0401654
162000 0.0392559
164000 0.0371018
166000 0.0327154
168000 0.0309182
170000 0.0356701
172000 0.0346519
174000 0.0311836
176000 0.0325849
178000 0.0385292
180000 0.0361793
182000 0.0326675
184000 0.0339034
186000 0.0322672
188000 0.0362228
190000 0.0386597
192000 0.0350261
194000 0.0381723
196000 0.0394952
198000 0.0362054
200000 0.0377981
202000 0.0363621
204000 0.0346823
206000 0.0363359
208000 0.0348303
210000 0.0350131
212000 0.0328372
214000 0.0409617
216000 0.0407659
218000 0.037215
220000 0.0314143
222000 0.0339382
224000 0.0357746
226000 0.036114
228000 0.0330287
230000 0.034356
232000 0.0342907
234000 0.0390818
236000 0.0340644
238000 0.0336031
240000 0.0344473
242000 0.0342776
244000 0.0323803
246000 0.0367668
248000 0.0369452
250000 0.0381288
252000 0.0333464
254000 0.0352654
256000 0.0358747
258000 0.0352742
260000 0.0328242
262000 0.0330679
264000 0.0356658
266000 0.0352698
268000 0.0306745
270000 0.0307876
272000 0.0299173
274000 0.0330722
276000 0.0348738
278000 0.0376588
280000 0.0378111
282000 0.0396345
284000 0.0355831
286000 0.0334987
288000 0.0343777
290000 0.0342341
292000 0.0384943
294000 0.0379243
296000 0.0347346
298000 0.0338294
300000 0.0360705
