# Time-averaged data for fix myat1
# TimeStep v_number_type1_in
2000 19.365
4000 33.24
6000 37.355
8000 46.965
10000 53.625
12000 58.135
14000 58.43
16000 60.485
18000 64.12
20000 55.18
22000 57.26
24000 67.365
26000 70.14
28000 72.09
30000 76.115
32000 84.345
34000 81.155
36000 84.12
38000 88.885
40000 94.66
42000 98.775
44000 96.895
46000 105.565
48000 111.345
50000 105.66
52000 109.145
54000 114.475
56000 121.685
58000 125.97
60000 123.91
62000 129.8
64000 135.125
66000 131.195
68000 131.645
70000 128.655
72000 127.82
74000 130.855
76000 137.425
78000 139.46
80000 136.235
82000 139.505
84000 141.14
86000 146.905
88000 149.78
90000 153.92
92000 148.755
94000 150.745
96000 152.995
98000 157.295
100000 161.51
102000 165.575
104000 165.5
106000 167.495
108000 166.435
110000 171.965
112000 166.795
114000 169.165
116000 168.035
118000 168.43
120000 166.535
122000 167.055
124000 168.535
126000 163.105
128000 165.48
130000 167.155
132000 165.775
134000 169.35
136000 170.075
138000 170.56
140000 169.53
142000 169.495
144000 173.165
146000 174.045
148000 178.125
150000 175.755
152000 176.36
154000 177.74
156000 186.64
158000 192.325
160000 188.96
162000 187.82
164000 183.515
166000 187.9
168000 184.775
170000 180.38
172000 191.065
174000 181.76
176000 185.605
178000 187.545
180000 180.38
182000 182.67
184000 181.49
186000 180.925
188000 187.81
190000 192.055
192000 186.34
194000 184.995
196000 180.955
198000 175.845
200000 179.605
202000 180.645
204000 173.76
206000 173.775
208000 179.94
210000 178.11
212000 177.83
214000 176.74
216000 175.28
218000 173.605
220000 177.93
222000 172.115
224000 174.64
226000 172.75
228000 182.06
230000 176.785
232000 180.76
234000 191.08
236000 189.96
238000 187.16
240000 185.785
242000 187.03
244000 190.07
246000 188.73
248000 185.805
250000 188.795
252000 196.195
254000 196.42
256000 187.365
258000 191.155
260000 191.345
262000 185.825
264000 188.95
266000 192.535
268000 197.925
270000 200.095
272000 196.915
274000 199.59
276000 192.445
278000 191.475
280000 195.175
282000 196.15
284000 193.12
286000 199.885
288000 192.535
290000 194.37
292000 190.37
294000 195.33
296000 203.575
298000 202.02
300000 203.72
