# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
2000 0.0070619
4000 0.0100262
6000 0.0102528
8000 0.0130209
10000 0.0137881
12000 0.0140453
14000 0.0178771
16000 0.0201918
18000 0.0198954
20000 0.0209285
22000 0.0190017
24000 0.0207934
26000 0.0218003
28000 0.0242546
30000 0.0259852
32000 0.022755
34000 0.0242895
36000 0.0261639
38000 0.0261508
40000 0.0284961
42000 0.025048
44000 0.0295161
46000 0.0283348
48000 0.0295205
50000 0.0339974
52000 0.028374
54000 0.026905
56000 0.0268265
58000 0.0318003
60000 0.031748
62000 0.0300087
64000 0.027197
66000 0.026408
68000 0.0285222
70000 0.0312642
72000 0.0316173
74000 0.0317044
76000 0.0310942
78000 0.0304359
80000 0.0310201
82000 0.0321709
84000 0.0326983
86000 0.0313252
88000 0.0306364
90000 0.0313034
92000 0.0294856
94000 0.028932
96000 0.0320445
98000 0.0345466
100000 0.0331386
102000 0.0317393
104000 0.0337925
106000 0.0369311
108000 0.0354272
110000 0.0349869
112000 0.033714
114000 0.0339887
116000 0.0326155
118000 0.0304272
120000 0.0308588
122000 0.0345946
124000 0.0372493
126000 0.0329512
128000 0.0355972
130000 0.0356277
132000 0.035558
134000 0.0360811
136000 0.0351962
138000 0.034333
140000 0.0347297
142000 0.0322145
144000 0.0309939
146000 0.0352528
148000 0.0331648
150000 0.033143
152000 0.0321883
154000 0.0324629
156000 0.0339189
158000 0.0334307
160000 0.0363426
162000 0.0359198
164000 0.0352485
166000 0.0340017
168000 0.0355536
170000 0.0345815
172000 0.0366739
174000 0.0354185
176000 0.0346731
178000 0.0311726
180000 0.0294551
182000 0.0324629
184000 0.0339233
186000 0.0361334
188000 0.04
190000 0.0346687
192000 0.036238
194000 0.0293025
196000 0.0313121
198000 0.0355275
200000 0.0320227
202000 0.0343984
204000 0.0321491
206000 0.0337663
208000 0.0337969
210000 0.035
212000 0.0337576
214000 0.0328596
216000 0.0371229
218000 0.0339799
220000 0.036905
222000 0.0357062
224000 0.0321229
226000 0.032245
228000 0.0321883
230000 0.0301831
232000 0.0333391
234000 0.0337358
236000 0.0329337
238000 0.0319355
240000 0.0362119
242000 0.0343243
244000 0.0341325
246000 0.034891
248000 0.0386704
250000 0.038204
252000 0.0350305
254000 0.0343548
256000 0.0346469
258000 0.0312685
260000 0.0364385
262000 0.0365039
264000 0.0346077
266000 0.0319224
268000 0.0315955
270000 0.0304577
272000 0.0294943
274000 0.0334045
276000 0.0354969
278000 0.0326504
280000 0.0358282
282000 0.0345336
284000 0.0352746
286000 0.0360811
288000 0.0339843
290000 0.035959
292000 0.0368221
294000 0.0341456
296000 0.0360201
298000 0.0327201
300000 0.0365039
