# Time-averaged data for fix myat2
# TimeStep v_number_type2_in
2000 133.185
4000 118.05
6000 112.865
8000 108.11
10000 106.57
12000 103.645
14000 100.06
16000 95.955
18000 95.51
20000 98.175
22000 91.205
24000 88.92
26000 89.64
28000 90.2
30000 87.895
32000 81.74
34000 78.345
36000 74.94
38000 78.005
40000 77.16
42000 79.515
44000 77.3
46000 74.84
48000 72.99
50000 68.745
52000 66.825
54000 65.695
56000 66.13
58000 65.43
60000 63.23
62000 61.38
64000 61.19
66000 59.83
68000 62.43
70000 63.95
72000 64.36
74000 63.685
76000 60.86
78000 56.24
80000 55.785
82000 52.925
84000 49.75
86000 50.775
88000 52.41
90000 53.785
92000 54.505
94000 54.51
96000 55
98000 51.465
100000 52.165
102000 52.845
104000 50.365
106000 47.59
108000 50.28
110000 46.49
112000 47.98
114000 47.16
116000 48.9
118000 47.785
120000 46.285
122000 46.42
124000 45.615
126000 44.055
128000 42.905
130000 42.855
132000 44.725
134000 42.155
136000 42.21
138000 42.61
140000 44.665
142000 43.345
144000 42.015
146000 42.095
148000 42.935
150000 40.035
152000 38.865
154000 40.27
156000 46.75
158000 46.945
160000 46.345
162000 44.785
164000 46.75
166000 48.03
168000 45.74
170000 44.425
172000 40.355
174000 41.105
176000 42.535
178000 42.715
180000 38.965
182000 38.365
184000 39.84
186000 41.065
188000 36.97
190000 38.355
192000 39.85
194000 38.07
196000 37.45
198000 38.145
200000 38.045
202000 37.145
204000 36.86
206000 38.87
208000 36.49
210000 39.18
212000 39.75
214000 40.505
216000 39.205
218000 38.315
220000 35.27
222000 40.12
224000 41.83
226000 39.89
228000 40.385
230000 39.605
232000 42.915
234000 44.145
236000 44.845
238000 46.17
240000 44.43
242000 42.6
244000 45.27
246000 43.875
248000 42.16
250000 44.8
252000 45.21
254000 44.455
256000 41.74
258000 39.79
260000 39.385
262000 37.94
264000 37.345
266000 37.985
268000 39.775
270000 44.255
272000 41.745
274000 40.825
276000 42.14
278000 41.32
280000 41.17
282000 40.725
284000 38.665
286000 35.735
288000 37.065
290000 36.935
292000 35.4
294000 35.16
296000 32.35
298000 33.475
300000 34.28
